state,year,gender,offense,count
AK,2007,male,stolen-property,19
AK,2007,male,suspicion,2
AK,2007,male,vagrancy,6
AK,2007,male,vandalism,764
AK,2007,male,weapons,376
AK,2008,female,aggravated-assault,375
AK,2008,female,arson,8
AK,2008,female,burglary,54
AK,2008,female,curfew,1
AK,2008,female,disorderly-conduct,187
AK,2008,female,drug-grand-total,390
AK,2008,female,drunkenness,33
AK,2008,female,dui,1430
AK,2008,female,embezzlement,49
AK,2008,female,forgery,41
AK,2008,female,fraud,96
AK,2008,female,larceny,1262
AK,2008,female,liqour-laws,638
AK,2008,female,motor-vehcile-theft,41
AK,2008,female,murder,1
AK,2008,female,offense-against-family,178
AK,2008,female,prostitution,140
AK,2008,female,rape,0
AK,2008,female,robbery,44
AK,2008,female,runaway,151
AK,2008,female,sex-offenses,8
AK,2008,female,simple-assault,1188
AK,2008,female,stolen-property,9
AK,2008,female,suspicion,1
AK,2008,female,vagrancy,0
AK,2008,female,vandalism,161
AK,2008,female,weapons,20
AK,2008,male,aggravated-assault,1405
AK,2008,male,arson,38
AK,2008,male,burglary,406
AK,2008,male,curfew,0
AK,2008,male,disorderly-conduct,660
AK,2008,male,drug-grand-total,1335
AK,2008,male,drunkenness,75
AK,2008,male,dui,4137
AK,2008,male,embezzlement,57
AK,2008,male,forgery,46
AK,2008,male,fraud,183
AK,2008,male,larceny,2092
AK,2008,male,liqour-laws,1080
AK,2008,male,motor-vehcile-theft,228
AK,2008,male,murder,21
AK,2008,male,offense-against-family,145
AK,2008,male,prostitution,19
AK,2008,male,rape,55
AK,2008,male,robbery,231
AK,2008,male,runaway,186
AK,2008,male,sex-offenses,161
AK,2008,male,simple-assault,2917
AK,2008,male,stolen-property,29
AK,2008,male,suspicion,3
AK,2008,male,vagrancy,3
AK,2008,male,vandalism,726
AK,2008,male,weapons,330
AK,2009,female,aggravated-assault,436
AK,2009,female,arson,5
AK,2009,female,burglary,44
AK,2009,female,curfew,2
AK,2009,female,disorderly-conduct,259
AK,2009,female,drug-grand-total,490
AK,2009,female,drunkenness,138
AK,2009,female,dui,1436
AK,2009,female,embezzlement,40
AK,2009,female,forgery,65
AK,2009,female,fraud,91
AK,2009,female,larceny,1165
AK,2009,female,liqour-laws,989
AK,2009,female,motor-vehcile-theft,57
AK,2009,female,murder,3
AK,2009,female,offense-against-family,172
AK,2009,female,prostitution,171
AK,2009,female,rape,0
AK,2009,female,robbery,56
AK,2009,female,runaway,83
AK,2009,female,sex-offenses,20
AK,2009,female,simple-assault,1324
AK,2009,female,stolen-property,4
AK,2009,female,suspicion,1
AK,2009,female,vandalism,168
AK,2009,female,weapons,20
AK,2009,male,aggravated-assault,1497
AK,2009,male,arson,38
AK,2009,male,burglary,348
AK,2009,male,curfew,14
AK,2009,male,disorderly-conduct,719
AK,2009,male,drug-grand-total,1570
AK,2009,male,drunkenness,281
AK,2009,male,dui,4017
AK,2009,male,embezzlement,50
AK,2009,male,forgery,51
AK,2009,male,fraud,187
AK,2009,male,larceny,2091
AK,2009,male,liqour-laws,1455
AK,2009,male,motor-vehcile-theft,216
AK,2009,male,murder,20
AK,2009,male,offense-against-family,144
AK,2009,male,prostitution,46
AK,2009,male,rape,77
AK,2009,male,robbery,227
AK,2009,male,runaway,83
AK,2009,male,sex-offenses,179
AK,2009,male,simple-assault,3661
AK,2009,male,stolen-property,33
AK,2009,male,suspicion,2
AK,2009,male,vandalism,602
AK,2009,male,weapons,346
AK,2010,female,aggravated-assault,415
AK,2010,female,arson,11
AK,2010,female,burglary,78
AK,2010,female,curfew,3
AK,2010,female,disorderly-conduct,266
AK,2010,female,drug-grand-total,599
AK,2010,female,drunkenness,133
AK,2010,female,dui,1371
AK,2010,female,embezzlement,47
AK,2010,female,forgery,51
AK,2010,female,fraud,106
AK,2010,female,gambling-total,2
AK,2010,female,larceny,1155
AK,2010,female,liqour-laws,1009
AK,2010,female,motor-vehcile-theft,46
AK,2010,female,murder,3
AK,2010,female,offense-against-family,189
AK,2010,female,prostitution,108
AK,2010,female,rape,2
AK,2010,female,robbery,45
AK,2010,female,runaway,43
AK,2010,female,sex-offenses,14
AK,2010,female,simple-assault,1602
AK,2010,female,stolen-property,7
AK,2010,female,suspicion,2
AK,2010,female,vagrancy,6
AK,2010,female,vandalism,210
AK,2010,female,weapons,34
AK,2010,male,aggravated-assault,1556
AK,2010,male,arson,22
AK,2010,male,burglary,410
AK,2010,male,curfew,17
AK,2010,male,disorderly-conduct,821
AK,2010,male,drug-grand-total,1894
AK,2010,male,drunkenness,366
AK,2010,male,dui,3626
AK,2010,male,embezzlement,49
AK,2010,male,forgery,67
AK,2010,male,fraud,177
AK,2010,male,gambling-total,8
AK,2010,male,larceny,1990
AK,2010,male,liqour-laws,1484
AK,2010,male,motor-vehcile-theft,234
AK,2010,male,murder,22
AK,2010,male,offense-against-family,132
AK,2010,male,prostitution,53
AK,2010,male,rape,88
AK,2010,male,robbery,219
AK,2010,male,runaway,36
AK,2010,male,sex-offenses,313
AK,2010,male,simple-assault,3745
AK,2010,male,stolen-property,28
AK,2010,male,suspicion,9
AK,2010,male,vagrancy,10
AK,2010,male,vandalism,694
AK,2010,male,weapons,386
AK,2011,female,aggravated-assault,344
AK,2011,female,arson,11
AK,2011,female,burglary,54
AK,2011,female,curfew,10
AK,2011,female,disorderly-conduct,301
AK,2011,female,drug-grand-total,517
AK,2011,female,drunkenness,36
AK,2011,female,dui,1200
AK,2011,female,embezzlement,59
AK,2011,female,forgery,26
AK,2011,female,fraud,109
AK,2011,female,gambling-total,0
AK,2011,female,larceny,1207
AK,2011,female,liqour-laws,1145
AK,2011,female,motor-vehcile-theft,53
AK,2011,female,murder,4
AK,2011,female,offense-against-family,208
AK,2011,female,prostitution,46
AK,2011,female,rape,1
AK,2011,female,robbery,35
AK,2011,female,runaway,57
AK,2011,female,sex-offenses,17
AK,2011,female,simple-assault,1570
AK,2011,female,stolen-property,4
AK,2011,female,suspicion,1
AK,2011,female,vagrancy,3
AK,2011,female,vandalism,220
AK,2011,female,weapons,35
AK,2011,male,aggravated-assault,1343
AK,2011,male,arson,33
AK,2011,male,burglary,373
AK,2011,male,curfew,22
AK,2011,male,disorderly-conduct,840
AK,2011,male,drug-grand-total,1832
AK,2011,male,drunkenness,67
AK,2011,male,dui,3246
AK,2011,male,embezzlement,43
AK,2011,male,forgery,38
AK,2011,male,fraud,136
AK,2011,male,gambling-total,1
AK,2011,male,larceny,1900
AK,2011,male,liqour-laws,1585
AK,2011,male,motor-vehcile-theft,225
AK,2011,male,murder,28
AK,2011,male,offense-against-family,123
AK,2011,male,prostitution,23
AK,2011,male,rape,82
AK,2011,male,robbery,193
AK,2011,male,runaway,60
AK,2011,male,sex-offenses,340
AK,2011,male,simple-assault,3859
AK,2011,male,stolen-property,24
AK,2011,male,suspicion,3
AK,2011,male,vagrancy,4
AK,2011,male,vandalism,676
AK,2011,male,weapons,366
AK,2012,female,aggravated-assault,271
AK,2012,female,arson,8
AK,2012,female,burglary,42
AK,2012,female,curfew,9
AK,2012,female,disorderly-conduct,237
AK,2012,female,drug-grand-total,369
AK,2012,female,drunkenness,26
AK,2012,female,dui,839
AK,2012,female,embezzlement,55
AK,2012,female,forgery,22
AK,2012,female,fraud,77
AK,2012,female,gambling-total,0
AK,2012,female,larceny,1201
AK,2012,female,liqour-laws,706
AK,2012,female,motor-vehcile-theft,38
AK,2012,female,murder,1
AK,2012,female,offense-against-family,156
AK,2012,female,prostitution,11
AK,2012,female,rape,0
AK,2012,female,robbery,42
AK,2012,female,sex-offenses,8
AK,2012,female,simple-assault,1250
AK,2012,female,stolen-property,5
AK,2012,female,suspicion,0
AK,2012,female,vagrancy,0
AK,2012,female,vandalism,191
AK,2012,female,weapons,14
AK,2012,male,aggravated-assault,1042
AK,2012,male,arson,27
AK,2012,male,burglary,267
AK,2012,male,curfew,2
AK,2012,male,disorderly-conduct,691
AK,2012,male,drug-grand-total,1178
AK,2012,male,drunkenness,38
AK,2012,male,dui,2112
AK,2012,male,embezzlement,49
AK,2012,male,forgery,41
AK,2012,male,fraud,81
AK,2012,male,gambling-total,1
AK,2012,male,larceny,1854
AK,2012,male,liqour-laws,1131
AK,2012,male,motor-vehcile-theft,165
AK,2012,male,murder,15
AK,2012,male,offense-against-family,84
AK,2012,male,prostitution,27
AK,2012,male,rape,86
AK,2012,male,robbery,161
AK,2012,male,sex-offenses,267
AK,2012,male,simple-assault,2614
AK,2012,male,stolen-property,13
AK,2012,male,suspicion,1
AK,2012,male,vagrancy,1
AK,2012,male,vandalism,579
AK,2012,male,weapons,211
AK,2013,female,aggravated-assault,306
AK,2013,female,arson,21
AK,2013,female,burglary,40
AK,2013,female,curfew,0
AK,2013,female,disorderly-conduct,275
AK,2013,female,drug-grand-total,377
AK,2013,female,drunkenness,36
AK,2013,female,dui,713
AK,2013,female,embezzlement,39
AK,2013,female,forgery,21
AK,2013,female,fraud,68
AK,2013,female,larceny,1449
AK,2013,female,liqour-laws,562
AK,2013,female,motor-vehcile-theft,42
AK,2013,female,murder,1
AK,2013,female,offense-against-family,152
AK,2013,female,prostitution,184
AK,2013,female,rape,2
AK,2013,female,robbery,45
AK,2013,female,runaway,0
AK,2013,female,sex-offenses,16
AK,2013,female,simple-assault,1149
AK,2013,female,stolen-property,9
AK,2013,female,vagrancy,172
AK,2013,female,vandalism,178
AK,2013,female,weapons,30
AK,2013,male,aggravated-assault,982
AK,2013,male,arson,45
AK,2013,male,burglary,224
AK,2013,male,curfew,6
AK,2013,male,disorderly-conduct,664
AK,2013,male,drug-grand-total,1098
AK,2013,male,drunkenness,64
AK,2013,male,dui,1976
AK,2013,male,embezzlement,48
AK,2013,male,forgery,28
AK,2013,male,fraud,104
AK,2013,male,larceny,2012
AK,2013,male,liqour-laws,823
AK,2013,male,motor-vehcile-theft,173
AK,2013,male,murder,21
AK,2013,male,offense-against-family,72
AK,2013,male,prostitution,463
AK,2013,male,rape,104
AK,2013,male,robbery,177
AK,2013,male,runaway,1
AK,2013,male,sex-offenses,203
AK,2013,male,simple-assault,2441
AK,2013,male,stolen-property,23
AK,2013,male,vagrancy,435
AK,2013,male,vandalism,598
AK,2013,male,weapons,204
AK,2014,female,aggravated-assault,293
AK,2014,female,arson,39
AK,2014,female,burglary,39
AK,2014,female,curfew,1
AK,2014,female,disorderly-conduct,178
AK,2014,female,drug-grand-total,311
AK,2014,female,drunkenness,41
AK,2014,female,dui,689
AK,2014,female,embezzlement,35
AK,2014,female,forgery,30
AK,2014,female,fraud,73
AK,2014,female,larceny,1175
AK,2014,female,liqour-laws,467
AK,2014,female,motor-vehcile-theft,45
AK,2014,female,murder,4
AK,2014,female,offense-against-family,117
AK,2014,female,prostitution,26
AK,2014,female,rape,1
AK,2014,female,robbery,33
AK,2014,female,runaway,1
AK,2014,female,sex-offenses,13
AK,2014,female,simple-assault,1037
AK,2014,female,stolen-property,3
AK,2014,female,suspicion,9
AK,2014,female,vandalism,176
AK,2014,female,weapons,23
AK,2014,male,aggravated-assault,970
AK,2014,male,arson,102
AK,2014,male,burglary,243
AK,2014,male,curfew,4
AK,2014,male,disorderly-conduct,553
AK,2014,male,drug-grand-total,848
AK,2014,male,drunkenness,84
AK,2014,male,dui,1647
AK,2014,male,embezzlement,27
AK,2014,male,forgery,47
AK,2014,male,fraud,109
AK,2014,male,larceny,1649
AK,2014,male,liqour-laws,704
AK,2014,male,motor-vehcile-theft,159
AK,2014,male,murder,15
AK,2014,male,offense-against-family,70
AK,2014,male,prostitution,10
AK,2014,male,rape,86
AK,2014,male,robbery,175
AK,2014,male,runaway,0
AK,2014,male,sex-offenses,237
AK,2014,male,simple-assault,2097
AK,2014,male,stolen-property,21
AK,2014,male,suspicion,8
AK,2014,male,vandalism,556
AK,2014,male,weapons,195
AK,2015,female,aggravated-assault,390
AK,2015,female,arson,13
AK,2015,female,burglary,86
AK,2015,female,curfew,2
AK,2015,female,disorderly-conduct,213
AK,2015,female,drug-grand-total,352
AK,2015,female,drunkenness,30
AK,2015,female,dui,877
AK,2015,female,embezzlement,38
AK,2015,female,forgery,20
AK,2015,female,fraud,100
AK,2015,female,larceny,994
AK,2015,female,liqour-laws,384
AK,2015,female,motor-vehcile-theft,84
AK,2015,female,murder,8
AK,2015,female,offense-against-family,108
AK,2015,female,prostitution,2
AK,2015,female,rape,1
AK,2015,female,robbery,57
AK,2015,female,runaway,1
AK,2015,female,sex-offenses,15
AK,2015,female,simple-assault,1315
AK,2015,female,stolen-property,13
AK,2015,female,vagrancy,0
AK,2015,female,vandalism,251
AK,2015,female,weapons,30
AK,2015,male,aggravated-assault,1344
AK,2015,male,arson,54
AK,2015,male,burglary,399
AK,2015,male,curfew,3
AK,2015,male,disorderly-conduct,582
AK,2015,male,drug-grand-total,860
AK,2015,male,drunkenness,50
AK,2015,male,dui,2286
AK,2015,male,embezzlement,34
AK,2015,male,forgery,19
AK,2015,male,fraud,130
AK,2015,male,larceny,1546
AK,2015,male,liqour-laws,716
AK,2015,male,motor-vehcile-theft,277
AK,2015,male,murder,39
AK,2015,male,offense-against-family,73
AK,2015,male,prostitution,6
AK,2015,male,rape,117
AK,2015,male,robbery,237
AK,2015,male,runaway,1
AK,2015,male,sex-offenses,225
AK,2015,male,simple-assault,3035
AK,2015,male,stolen-property,39
AK,2015,male,vagrancy,3
AK,2015,male,vandalism,647
AK,2015,male,weapons,273
AK,2016,female,aggravated-assault,410
AK,2016,female,arson,9
AK,2016,female,burglary,80
AK,2016,female,curfew,6
AK,2016,female,disorderly-conduct,197
AK,2016,female,drug-grand-total,329
AK,2016,female,drunkenness,31
AK,2016,female,dui,916
AK,2016,female,embezzlement,45
AK,2016,female,forgery,36
AK,2016,female,fraud,83
AK,2016,female,larceny,875
AK,2016,female,liqour-laws,252
AK,2016,female,motor-vehcile-theft,134
AK,2016,female,murder,3
AK,2016,female,offense-against-family,103
AK,2016,female,prostitution,3
AK,2016,female,rape,2
AK,2016,female,robbery,68
AK,2016,female,runaway,1
AK,2016,female,sex-offenses,20
AK,2016,female,simple-assault,1264
AK,2016,female,stolen-property,13
AK,2016,female,vagrancy,1
AK,2016,female,vandalism,252
AK,2016,female,weapons,29
AK,2016,male,aggravated-assault,1435
AK,2016,male,arson,42
AK,2016,male,burglary,458
AK,2016,male,curfew,6
AK,2016,male,disorderly-conduct,541
AK,2016,male,drug-grand-total,677
AK,2016,male,drunkenness,81
AK,2016,male,dui,2147
AK,2016,male,embezzlement,36
AK,2016,male,forgery,60
AK,2016,male,fraud,153
